data,cliente_id,cliente_nome,empresa,segmento,canal,campanha,impressoes,cliques,custo,conversoes,receita
2026-01-19,77,Dr. Léo das Neves,Viana S/A,SaaS,TikTok Ads,Awareness,25574,624,4090.05,31,1641.0
2026-01-14,19,Levi Martins,Castro,Varejo,Meta Ads,Lead Gen,30963,406,4496.58,81,4730.5
2026-01-27,69,Matteo Moraes,Camargo Gonçalves S/A,Varejo,TikTok Ads,Awareness,44906,1861,2271.02,11,1181.48
2026-01-22,92,Sarah da Luz,Costela da Paz Ltda.,SaaS,Meta Ads,Promo,35890,1678,1949.38,96,7173.02
2026-01-16,73,Ana Carolina Porto,Barbosa S/A,SaaS,Google Ads,Awareness,24822,207,3112.09,103,14254.49
2026-01-02,32,Sr. Vitor Garcia,Guerra,Varejo,Google Ads,Black Friday,48241,1303,4921.08,70,5398.0
2026-01-28,72,Benício Castro,Pereira,Marketing,TikTok Ads,Retargeting,10251,453,3238.98,63,9370.02
2026-01-26,37,Ísis Sales,Siqueira - ME,Marketing,TikTok Ads,Lead Gen,42789,1186,4495.07,96,8917.54
2026-01-10,15,Sr. Arthur Mendonça,Sales,Marketing,TikTok Ads,Conversão,31233,1347,1825.49,97,4986.84
2026-01-21,53,Dr. Thomas Melo,Moreira,Marketing,Meta Ads,Retargeting,34383,1828,4274.06,128,8273.71
2026-01-09,46,Kaique Nogueira,Caldeira S.A.,E-commerce,Google Ads,Conversão,45520,1496,680.82,144,11958.79
2026-01-04,63,Pedro Lucas Correia,Cavalcante,Marketing,TikTok Ads,Retargeting,32627,204,1210.63,144,14711.32
2026-01-01,14,Maria Fernanda Montenegro,Alves,E-commerce,Google Ads,Lead Gen,46397,414,2848.71,14,1380.18
2026-01-04,81,Vicente Alves,Vieira,Marketing,LinkedIn Ads,Promo,18156,1627,882.2,55,4972.46
2026-01-15,4,Sr. Davi Luiz Brito,Mendonça Machado - ME,Marketing,Meta Ads,Promo,15379,870,3068.92,17,1112.69
2026-01-04,21,Nathan Marques,Pinto - ME,Marketing,Meta Ads,Black Friday,33813,140,4568.58,94,11010.33
2026-01-23,10,Pietra Mendes,Pereira,SaaS,LinkedIn Ads,Promo,16673,1062,3358.07,38,2648.8
2026-01-25,72,Sra. Maria Nascimento,Sousa e Filhos,Varejo,LinkedIn Ads,Black Friday,29963,1482,4322.32,126,13118.73
2026-01-25,15,Bento Brito,Brito - EI,Varejo,Google Ads,Retargeting,12041,1195,2877.14,12,1174.13
2026-01-03,63,Bruno Castro,Montenegro,Marketing,Meta Ads,Black Friday,39574,597,2543.16,74,10930.11
2026-01-05,5,Maria Helena Lopes,Silva Ramos S.A.,Varejo,TikTok Ads,Promo,49284,1848,1196.83,94,6809.49
2026-01-10,96,Dra. Jade Nascimento,Jesus,Varejo,LinkedIn Ads,Conversão,24354,394,3306.0,75,8287.38
2026-01-16,74,Bernardo Borges,da Paz,E-commerce,TikTok Ads,Promo,36095,981,4752.03,87,10801.17
2026-01-12,21,Caio Cardoso,da Conceição Novaes - EI,SaaS,TikTok Ads,Awareness,45419,893,4868.08,56,4217.84
2026-01-24,69,Pedro Miguel Peixoto,Marques Cavalcanti Ltda.,Varejo,LinkedIn Ads,Awareness,49047,1570,726.0,40,5382.52
2026-01-06,29,Vitor Hugo Andrade,Peixoto e Filhos,SaaS,TikTok Ads,Lead Gen,13304,900,4025.84,90,12586.75
2026-01-05,11,Gabrielly Nascimento,Alves da Paz S.A.,E-commerce,LinkedIn Ads,Awareness,10126,461,2253.56,30,2128.98
2026-01-13,58,Benicio Gomes,Novaes - EI,Marketing,Meta Ads,Conversão,40371,890,3619.56,20,2223.99
2026-01-05,43,Vinícius Melo,Pires Freitas S/A,E-commerce,Google Ads,Black Friday,47119,296,799.71,25,2153.3
2026-01-01,63,Luana Cavalcanti,da Rosa Rios S.A.,Marketing,Meta Ads,Promo,40590,150,2584.44,145,10418.47
2026-01-29,32,Melina Nascimento,Moraes,E-commerce,Meta Ads,Awareness,24198,869,4748.43,19,2779.44
2026-01-09,70,Arthur Gabriel Rocha,da Mata,Varejo,Google Ads,Promo,25825,1053,939.29,7,1031.53
2026-01-17,49,André Fogaça,Teixeira,Marketing,LinkedIn Ads,Awareness,15544,1383,2977.21,67,6570.2
2026-01-04,2,Benjamin Peixoto,Cassiano,E-commerce,Google Ads,Promo,35859,586,4208.19,107,11346.18
2026-01-23,54,Amanda Ramos,Brito S/A,Marketing,Google Ads,Black Friday,31406,1993,1071.79,123,9261.13
2026-01-02,88,Bento Sousa,Pereira - ME,SaaS,LinkedIn Ads,Conversão,14389,1251,4132.95,86,7455.62
2026-01-24,81,Otávio da Cunha,Nascimento Ltda.,Varejo,TikTok Ads,Awareness,34135,1268,750.98,72,7958.36
2026-01-07,47,Bárbara Castro,Rios - ME,Marketing,LinkedIn Ads,Promo,49515,1108,3488.45,129,18648.17
2026-01-14,46,Marcelo Pimenta,Pastor Martins Ltda.,SaaS,Google Ads,Conversão,34469,163,4986.16,70,4662.41
2026-01-03,89,Maria Cunha,Teixeira - ME,Marketing,Google Ads,Retargeting,16979,1336,3506.05,47,4962.05
2026-01-26,96,Nina Vargas,Sales,SaaS,TikTok Ads,Promo,45029,391,4861.09,97,5227.12
2026-01-07,4,Antony Siqueira,Pastor S.A.,Varejo,LinkedIn Ads,Promo,15794,1894,1428.48,128,14127.68
2026-01-31,20,Clara Rezende,Campos,Varejo,LinkedIn Ads,Lead Gen,40869,622,1010.07,131,14252.09
2026-01-02,12,Sarah Ramos,Cardoso Vargas S/A,E-commerce,Meta Ads,Conversão,13313,471,534.37,64,6425.22
2026-01-10,78,Dra. Beatriz Barbosa,Brito Pires Ltda.,SaaS,Meta Ads,Retargeting,42258,1751,1485.18,140,17697.27
2026-01-29,72,Ravy Fogaça,Guerra,Varejo,Google Ads,Awareness,40450,774,4587.14,114,14511.77
2026-01-25,5,Daniela Rocha,Vargas S.A.,Marketing,Google Ads,Retargeting,22702,611,2514.18,26,3183.32
2026-01-03,96,Alícia Duarte,Jesus Ltda.,Marketing,Google Ads,Black Friday,49566,1054,3468.58,103,10845.34
2026-01-02,30,José Nascimento,Ferreira Ltda.,SaaS,LinkedIn Ads,Awareness,43855,1834,3567.35,8,1188.96
2026-01-16,27,Bárbara Vieira,Viana,E-commerce,Google Ads,Conversão,31312,1856,2655.23,73,9721.48
2026-01-12,51,Jade Moraes,Cassiano - EI,SaaS,TikTok Ads,Retargeting,13900,671,3114.61,62,7796.07
2026-01-17,38,Dr. Yago da Cruz,Dias,E-commerce,Meta Ads,Awareness,17412,842,2729.94,81,10049.48
2026-01-03,56,Marcos Vinicius Costela,Cunha e Filhos,SaaS,Google Ads,Promo,28233,325,4473.75,25,2396.1
2026-01-16,60,Levi Araújo,Pereira S/A,Varejo,Google Ads,Retargeting,8612,485,1105.64,117,17129.83
2026-01-09,51,Ísis Pastor,Aragão,SaaS,Meta Ads,Conversão,21241,229,2217.79,8,673.36
2026-01-12,96,Isabella Nunes,Campos,Varejo,Google Ads,Black Friday,44598,530,4060.87,79,7046.37
2026-01-25,64,Vitória Araújo,Gomes,SaaS,TikTok Ads,Conversão,16341,1768,591.21,109,13903.21
2026-01-19,88,Helena Macedo,Andrade e Filhos,E-commerce,TikTok Ads,Retargeting,20377,966,3649.07,84,5463.4
2026-01-25,78,Enzo Gabriel Pastor,Siqueira Marques Ltda.,Varejo,Meta Ads,Promo,29606,913,4209.28,52,6883.46
2026-01-16,88,Sr. Noah Leão,Aparecida S/A,Marketing,Google Ads,Lead Gen,25046,1747,2202.2,140,10767.88
2026-01-26,94,Antony Aparecida,Araújo,E-commerce,LinkedIn Ads,Awareness,12225,265,2022.43,110,11738.23
2026-01-24,75,Isaque Nascimento,Moura e Filhos,Varejo,Google Ads,Black Friday,21083,750,2863.95,116,6334.52
2026-01-13,54,Miguel Aparecida,Siqueira Cassiano S.A.,SaaS,Google Ads,Awareness,21802,786,3463.14,97,5367.16
2026-01-19,90,Levi Costela,Viana,Marketing,Meta Ads,Conversão,15833,507,1793.32,11,1439.99
2026-01-10,47,Dra. Bárbara Duarte,Oliveira,Varejo,LinkedIn Ads,Retargeting,49958,577,4932.47,118,9137.84
2026-01-02,95,Marcela da Rocha,Macedo,Varejo,Meta Ads,Black Friday,8818,473,3748.5,17,2359.14
2026-01-20,67,Antônio da Rosa,Jesus Ltda.,Varejo,TikTok Ads,Awareness,20898,1371,4573.68,65,3572.84
2026-01-31,91,Emilly Santos,Costela Ltda.,Marketing,Meta Ads,Lead Gen,32857,383,4425.0,25,2365.23
2026-01-17,70,Srta. Maria Luiza Ferreira,Pacheco das Neves Ltda.,Varejo,LinkedIn Ads,Lead Gen,44622,1850,4003.15,52,4055.25
2026-01-10,27,Vitor Gabriel Viana,Nascimento,E-commerce,Meta Ads,Conversão,30923,1984,1815.23,133,19495.87
2026-01-03,21,Maria Helena Fonseca,Farias,Marketing,TikTok Ads,Promo,8713,1967,3660.53,22,3253.37
2026-01-24,80,Arthur Farias,Camargo Ltda.,Varejo,Meta Ads,Promo,29713,504,1537.01,31,1612.09
2026-01-10,17,Eloá Porto,Alves Farias - EI,Marketing,Google Ads,Promo,10157,1752,3010.83,21,1819.97
2026-01-17,11,Vitor Caldeira,Cirino,E-commerce,Meta Ads,Conversão,28864,1050,3363.19,39,4981.66
2026-01-17,55,Vinícius da Luz,Rocha Lima Ltda.,E-commerce,LinkedIn Ads,Lead Gen,27301,237,673.72,144,14702.73
2026-01-15,57,Emanuelly Sousa,da Cruz,Varejo,TikTok Ads,Lead Gen,41391,405,2421.2,43,3446.73
2026-01-05,29,Antonella Jesus,Câmara e Filhos,Varejo,Meta Ads,Black Friday,22186,686,4685.89,16,1179.06
2026-01-25,50,Dom Mendes,da Cunha S/A,Varejo,Google Ads,Lead Gen,8246,1286,2267.64,56,5773.36
2026-01-11,26,Laís Macedo,Novais Ltda.,SaaS,TikTok Ads,Black Friday,33842,1598,3304.56,132,9383.52
2026-01-07,50,Gabriel Santos,Casa Grande,E-commerce,Meta Ads,Retargeting,5174,310,1709.26,8,802.15
2026-01-03,27,Cecilia Silva,Barbosa,Marketing,LinkedIn Ads,Conversão,12463,818,3023.75,60,8847.53
2026-01-14,97,Sr. Pedro Miguel Cardoso,Siqueira,Varejo,TikTok Ads,Black Friday,14464,1026,2526.08,34,2262.83
2026-01-17,35,Vinicius Vasconcelos,Pacheco,E-commerce,TikTok Ads,Conversão,20532,1474,3025.21,79,3985.54
2026-01-21,33,André Cavalcanti,Cavalcante Ltda.,SaaS,TikTok Ads,Lead Gen,9794,1606,573.12,11,568.23
2026-01-12,45,Ana Júlia Rios,Macedo,Marketing,LinkedIn Ads,Promo,32809,1829,3491.26,149,17777.72
2026-01-29,1,Maria Laura Campos,Cunha e Filhos,SaaS,Google Ads,Promo,25186,1985,4165.02,40,3297.89
2026-01-22,71,Helena Cardoso,Ramos,Marketing,TikTok Ads,Retargeting,40674,139,4136.89,16,1267.55
2026-01-21,10,Clara Viana,Rodrigues,SaaS,Google Ads,Promo,49994,1804,2907.72,142,7424.47
2026-01-24,56,Sr. Davi Lucca da Costa,Lopes - ME,Varejo,TikTok Ads,Lead Gen,11438,1186,2783.0,140,8497.6
2026-01-06,75,Ana Sophia Costela,Andrade,SaaS,Google Ads,Black Friday,16554,273,2391.01,128,17539.67
2026-01-08,11,Breno Fogaça,Correia,SaaS,TikTok Ads,Conversão,19487,1129,677.23,10,1456.79
2026-01-22,54,Alícia Fonseca,Nascimento,Marketing,Meta Ads,Retargeting,40874,1355,2909.3,149,13291.6
2026-01-06,69,Elisa Cunha,Cavalcanti,Marketing,Meta Ads,Lead Gen,25185,775,3189.62,11,1539.3
2026-01-04,5,Dr. Luiz Felipe Sousa,Leão - EI,Varejo,Google Ads,Lead Gen,48814,192,3837.08,30,3599.92
2026-01-11,77,Isis Cunha,da Luz Macedo - ME,Marketing,Google Ads,Retargeting,13270,1630,2578.73,132,16887.3
2026-01-02,90,Mirella Lopes,Sales,E-commerce,LinkedIn Ads,Retargeting,15978,890,4933.78,143,18219.14
2026-01-01,72,João Vitor da Luz,Borges - ME,SaaS,LinkedIn Ads,Conversão,27705,1717,4154.87,107,6336.92
2026-01-27,76,Dr. Pedro Henrique Cavalcante,Rios,E-commerce,Meta Ads,Lead Gen,21385,1963,581.4,139,6965.5
2026-01-11,86,Isabel Oliveira,Silva,Varejo,LinkedIn Ads,Retargeting,39318,1638,1406.62,66,5577.45
2026-01-31,47,Maria Eduarda Gomes,Abreu Martins - EI,Marketing,Meta Ads,Conversão,8601,1365,4548.69,95,9250.63
2026-01-29,96,Davi Luiz da Rocha,Barros,Marketing,TikTok Ads,Lead Gen,15105,880,2927.79,89,10461.58
2026-01-23,83,Benício Jesus,Farias Costela - EI,Marketing,LinkedIn Ads,Awareness,38366,324,1079.36,26,2373.66
2026-01-29,81,Sr. João Miguel Cavalcanti,Brito S/A,E-commerce,LinkedIn Ads,Lead Gen,26487,1752,2139.51,105,7062.48
2026-01-11,40,Carlos Eduardo Andrade,Monteiro Aragão S/A,E-commerce,Google Ads,Awareness,9007,982,2158.83,16,2248.0
2026-01-05,30,Theo Brito,Mendes,SaaS,Google Ads,Awareness,29248,728,2993.32,144,18540.01
2026-01-04,16,Davi Luiz Machado,Rezende Cardoso - ME,Varejo,Meta Ads,Black Friday,41705,1816,3408.2,10,1110.49
2026-01-20,50,Carolina Barbosa,Pires - ME,Marketing,LinkedIn Ads,Promo,12187,1750,2575.71,82,12256.09
2026-01-30,16,Larissa Vieira,Rezende e Filhos,Marketing,TikTok Ads,Lead Gen,16787,119,3245.05,48,6606.61
2026-01-03,93,Sr. Eduardo Albuquerque,Costa S.A.,SaaS,Google Ads,Lead Gen,21586,950,2006.46,55,4997.69
2026-01-13,75,Aylla Ribeiro,da Mata,Varejo,Meta Ads,Black Friday,27728,750,4243.25,119,11247.45
2026-01-17,12,Vitor Gabriel Farias,Ramos Abreu e Filhos,Varejo,TikTok Ads,Conversão,29921,625,1775.37,112,15196.36
2026-01-16,55,Arthur Santos,Melo - EI,Varejo,Meta Ads,Black Friday,28217,1325,2663.82,127,12457.97
2026-01-08,19,Ryan da Costa,Cavalcante S/A,Marketing,TikTok Ads,Retargeting,45661,125,4929.03,109,13010.82
2026-01-09,37,Manuella Garcia,Ramos,Marketing,LinkedIn Ads,Awareness,28099,593,3012.99,125,18733.57
2026-01-23,36,Isaque Leão,Pinto Fogaça S.A.,Varejo,Google Ads,Promo,24822,412,4884.23,20,2844.41
2026-01-10,22,Ana Beatriz Mendes,das Neves,Varejo,TikTok Ads,Retargeting,9269,703,1530.35,6,836.04
2026-01-05,43,Maria Luísa Lopes,Barbosa S/A,Marketing,TikTok Ads,Promo,35184,809,2425.73,13,1163.21
2026-01-21,33,Ana Luiza Sales,da Cunha,Marketing,LinkedIn Ads,Black Friday,31944,146,4262.29,68,7228.13
2026-01-07,93,Ana Júlia Martins,Fonseca,SaaS,Meta Ads,Promo,47119,1951,4628.49,40,4986.63
2026-01-21,76,João Vitor Duarte,Cavalcanti,Varejo,Google Ads,Retargeting,41202,1971,3717.04,13,1016.45
2026-01-13,32,Maria Cecília Aragão,Silveira Azevedo S.A.,E-commerce,LinkedIn Ads,Promo,28358,346,3329.45,148,15840.0
2026-01-23,39,Giovanna Abreu,da Cunha Ltda.,Varejo,Google Ads,Black Friday,49657,227,601.45,119,12785.25
2026-01-08,15,Nicolas das Neves,Fernandes,Varejo,TikTok Ads,Conversão,47198,712,4981.29,50,7019.73
2026-01-26,85,Vitória Ferreira,Ramos - ME,Varejo,Google Ads,Conversão,19829,1848,1610.52,62,5489.5
2026-01-02,7,Joaquim Barbosa,Silva da Mata e Filhos,SaaS,Meta Ads,Lead Gen,8582,1097,523.0,91,8129.75
2026-01-10,48,Sra. Bianca Fogaça,da Cunha,E-commerce,TikTok Ads,Black Friday,17255,1258,3476.11,148,21293.15
2026-01-23,60,José Pedro Cardoso,Campos - ME,Marketing,TikTok Ads,Black Friday,38020,1926,793.13,121,11576.1
2026-01-05,52,João Lucas Silveira,Aparecida Ltda.,E-commerce,Google Ads,Lead Gen,45001,762,1674.93,17,1382.29
2026-01-07,29,Davi Luiz Vasconcelos,Nascimento,Marketing,TikTok Ads,Lead Gen,6939,246,1734.47,21,2462.31
2026-01-19,16,Sophie Ferreira,Sá,Varejo,LinkedIn Ads,Promo,19609,1830,2510.9,148,8134.91
2026-01-25,4,Raquel Sales,Gonçalves Pereira S/A,Marketing,Meta Ads,Conversão,35500,1217,2526.19,74,10590.5
2026-01-11,92,Cauã Dias,Viana,E-commerce,LinkedIn Ads,Retargeting,23219,1839,1224.59,100,10992.74
2026-01-19,62,Davi Alves,da Mata,Marketing,Google Ads,Lead Gen,7937,1061,4229.89,94,10938.2
2026-01-04,13,Théo Vargas,Pires Nunes e Filhos,Varejo,LinkedIn Ads,Black Friday,21734,1391,1572.98,61,4087.03
2026-01-29,62,Luiz Miguel Correia,Castro S.A.,Marketing,Google Ads,Black Friday,15742,1749,3706.83,34,2996.83
2026-01-28,28,Carolina Jesus,da Mata,Marketing,TikTok Ads,Conversão,5119,1416,1831.35,43,4563.68
2026-01-11,79,Ryan Camargo,Sampaio Ltda.,Varejo,Google Ads,Conversão,48297,1070,854.97,61,6812.32
2026-01-14,68,Pedro Henrique Fogaça,Aparecida - EI,Marketing,Google Ads,Black Friday,23016,1918,1357.35,125,8525.78
2026-01-24,24,Carlos Eduardo Moreira,Campos,Varejo,TikTok Ads,Black Friday,42793,1949,2512.54,37,2590.21
2026-01-26,70,Murilo Novais,Alves,Marketing,Google Ads,Conversão,16551,601,927.19,119,9685.21
2026-01-23,61,Ryan da Cruz,Vargas,Varejo,LinkedIn Ads,Lead Gen,39142,1103,646.25,138,8006.09
2026-01-28,48,Apollo Azevedo,Pinto,E-commerce,LinkedIn Ads,Conversão,47993,1948,686.99,9,804.38
2026-01-01,68,Guilherme Pimenta,Silva,SaaS,TikTok Ads,Promo,37426,333,3745.09,136,15285.13
2026-01-20,81,Rafaela Jesus,Machado S.A.,Varejo,Google Ads,Black Friday,39463,1581,4962.56,44,6383.94
2026-01-26,67,Davi Lucas Vasconcelos,Cunha S.A.,SaaS,Google Ads,Black Friday,42713,1570,2025.58,122,15537.71
2026-01-13,64,Bianca Costa,Lopes - EI,E-commerce,TikTok Ads,Promo,24993,1641,1489.98,141,16002.38
2026-01-10,32,Joaquim Barbosa,Sampaio Fernandes S/A,SaaS,Meta Ads,Lead Gen,19078,1960,4501.23,62,8242.99
2026-01-23,93,Sra. Nina das Neves,da Rosa Almeida e Filhos,E-commerce,Meta Ads,Black Friday,32503,1289,946.49,110,11044.8
2026-01-07,75,Diego Câmara,Sá,Marketing,Meta Ads,Awareness,35488,326,2286.81,22,2263.5
2026-01-22,35,Guilherme Aparecida,Peixoto Melo e Filhos,Varejo,Meta Ads,Promo,26381,1804,1648.66,84,6562.01
2026-01-26,1,Sr. Carlos Eduardo Garcia,Oliveira,Marketing,Google Ads,Promo,21874,1612,845.73,71,8885.07
2026-01-08,30,Ana Cecília Machado,Abreu Moreira Ltda.,Marketing,LinkedIn Ads,Black Friday,33575,580,3476.7,30,3930.51
2026-01-29,15,Maria Alice Azevedo,Macedo - ME,Marketing,Google Ads,Lead Gen,36758,1516,1696.19,15,1760.35
2026-01-21,12,Nicolas Fogaça,Freitas Novaes S/A,SaaS,Google Ads,Black Friday,30273,1864,4958.19,147,9471.86
2026-01-14,62,Emanuella da Mata,Gomes,E-commerce,LinkedIn Ads,Retargeting,8151,1776,908.21,22,1901.52
2026-01-27,8,Amanda Caldeira,Cirino Peixoto e Filhos,Varejo,Meta Ads,Black Friday,32432,1533,3632.87,72,8316.36
2026-01-10,87,Vitória Monteiro,Pires,Varejo,LinkedIn Ads,Promo,35666,243,4243.87,14,1086.55
2026-01-14,91,Oliver Rocha,Rodrigues Marques Ltda.,Marketing,LinkedIn Ads,Awareness,40908,1775,3994.68,128,7140.69
2026-01-18,16,Srta. Julia Caldeira,Pires Ribeiro Ltda.,Marketing,Google Ads,Black Friday,36853,277,2166.21,136,17571.19
2026-01-11,84,Ryan Borges,Nascimento,Varejo,Google Ads,Conversão,12091,456,3400.47,36,4825.05
2026-01-04,71,Maitê Fernandes,Albuquerque Mendes e Filhos,SaaS,Meta Ads,Lead Gen,27659,1761,3923.5,98,8533.42
2026-01-18,50,Ana da Rocha,Novaes,Marketing,TikTok Ads,Promo,49090,1484,1291.14,56,5646.86
2026-01-15,72,Valentim Aragão,Carvalho - ME,SaaS,TikTok Ads,Promo,24317,256,3554.41,131,13999.86
2026-01-11,61,Cecília Fogaça,Cunha - ME,E-commerce,LinkedIn Ads,Black Friday,21078,1960,896.4,116,9631.55
2026-01-10,7,Kamilly Rocha,Souza,Marketing,Meta Ads,Awareness,23889,1658,4653.0,55,4750.54
2026-01-15,79,Davi Luiz Porto,Campos,Marketing,Meta Ads,Lead Gen,35451,940,578.32,15,822.86
2026-01-08,7,Rafaela Vasconcelos,Moreira Silva e Filhos,Marketing,Google Ads,Promo,6783,1139,1675.92,51,4009.4
2026-01-17,70,Dr. Otávio Rezende,Vargas,Marketing,LinkedIn Ads,Retargeting,48606,1657,2824.37,38,5595.32
2026-01-04,75,Giovanna Aparecida,Gonçalves,SaaS,Meta Ads,Black Friday,12038,691,2071.27,146,14758.01
2026-01-01,61,Vicente Rezende,Cavalcanti,Varejo,Google Ads,Awareness,35801,1026,2619.98,37,5409.03
2026-01-05,84,Luna Mendes,Câmara,Marketing,Google Ads,Lead Gen,23506,1196,3086.67,10,1282.97
2026-01-19,83,Antônio Guerra,Sampaio Nogueira Ltda.,SaaS,Google Ads,Black Friday,21622,688,4603.7,10,1037.97
2026-01-07,69,Rael Albuquerque,Oliveira,Varejo,Google Ads,Retargeting,15489,1884,579.51,85,8426.24
2026-01-22,83,Daniel Fogaça,Nascimento,Varejo,Google Ads,Promo,28376,1327,4556.44,24,3490.68
2026-01-20,43,Maria Sophia Macedo,Rezende,E-commerce,Meta Ads,Promo,22443,233,4853.9,103,7196.44
2026-01-07,86,Dr. Enrico Dias,da Cruz,Marketing,LinkedIn Ads,Awareness,48680,115,4830.88,39,5453.41
2026-01-01,83,Sarah Correia,Sousa,E-commerce,Meta Ads,Lead Gen,41421,175,2816.44,6,863.28
2026-01-14,70,Cecilia Pacheco,da Cruz,Varejo,Meta Ads,Black Friday,11986,885,1139.86,10,638.16
2026-01-16,23,Dra. Olivia Pires,Silva,SaaS,Meta Ads,Retargeting,32844,207,3574.17,119,12708.47
2026-01-08,74,Joana Azevedo,Machado Ltda.,Marketing,Google Ads,Lead Gen,35633,536,2612.25,56,8040.73
2026-01-31,62,Pietra Leão,Machado,E-commerce,TikTok Ads,Lead Gen,6393,1851,4953.65,70,7573.44
2026-01-10,59,Dr. Mateus Nunes,Costela,SaaS,LinkedIn Ads,Retargeting,25189,413,2481.08,143,16410.17
2026-01-18,10,Beatriz Mendonça,Barbosa,Marketing,LinkedIn Ads,Black Friday,45896,1409,4925.26,79,5173.93
2026-01-07,76,Thomas Fogaça,Vargas Costa e Filhos,Marketing,TikTok Ads,Retargeting,30845,1048,4693.36,93,9153.26
2026-01-02,74,Brayan Souza,Novaes,E-commerce,LinkedIn Ads,Lead Gen,27009,776,918.1,64,7081.91
2026-01-14,59,Dra. Luísa Melo,Garcia,SaaS,Google Ads,Lead Gen,22066,1847,2657.07,133,10936.16
2026-01-25,43,Clara Garcia,Costela,Marketing,Google Ads,Conversão,26136,317,2613.47,44,5869.2
2026-01-31,32,Dra. Joana Fernandes,Barros - EI,SaaS,Meta Ads,Promo,39896,1565,516.1,105,15324.39
2026-01-31,37,Sr. Davi Lucca Pires,Cirino,SaaS,TikTok Ads,Lead Gen,22936,644,3458.72,57,6595.29
2026-01-11,82,Matheus Farias,Machado Albuquerque e Filhos,SaaS,LinkedIn Ads,Black Friday,42503,1117,2171.81,72,6433.31
2026-01-26,1,Stella Rocha,Pinto,SaaS,Meta Ads,Lead Gen,32920,871,743.32,141,19091.46
2026-01-18,67,Dra. Laura Fonseca,da Costa,SaaS,Google Ads,Lead Gen,33091,324,4841.12,41,2535.01
2026-01-14,8,Lucas Macedo,Macedo - ME,Varejo,Meta Ads,Retargeting,37828,722,686.86,31,2485.53
2026-01-30,7,Dr. Ravi Casa Grande,da Rosa - EI,Varejo,Meta Ads,Black Friday,21259,701,1697.11,123,8426.27
2026-01-23,96,Dr. João Lucas da Costa,Barbosa e Filhos,SaaS,TikTok Ads,Black Friday,7146,1189,3300.72,139,13404.94
2026-01-21,55,Ana Liz Casa Grande,Brito,E-commerce,LinkedIn Ads,Conversão,24265,1715,4826.0,70,9192.19
2026-01-23,54,Clarice Mendonça,Montenegro - ME,E-commerce,TikTok Ads,Lead Gen,45287,434,608.4,120,8770.22
2026-01-19,62,Leandro Aparecida,Aragão Sá - ME,E-commerce,TikTok Ads,Lead Gen,33318,1296,4273.1,118,8433.97
2026-01-29,21,Dra. Gabrielly Fogaça,Ramos,SaaS,TikTok Ads,Retargeting,22946,1869,2430.04,121,10289.78
2026-01-13,6,Luigi Barros,Sá,SaaS,TikTok Ads,Retargeting,36100,1887,2172.96,66,8772.58
2026-01-14,17,Alexandre Fonseca,Barros Sampaio e Filhos,Marketing,Meta Ads,Conversão,24809,1169,4916.32,104,6883.96
2026-01-13,70,Heitor das Neves,Oliveira da Paz Ltda.,E-commerce,LinkedIn Ads,Black Friday,10451,1112,1533.04,96,10591.87
2026-01-18,61,Luan Ferreira,Albuquerque Correia Ltda.,SaaS,Google Ads,Conversão,28777,715,3740.16,130,9146.34
2026-01-20,60,Alexandre Lima,Jesus,Marketing,Google Ads,Retargeting,7920,1691,2443.14,138,17724.89
2026-01-04,88,Ester Nascimento,Porto S.A.,SaaS,TikTok Ads,Awareness,39790,912,2470.61,78,5700.18
2026-01-20,51,Carolina Pastor,Cirino,Marketing,Meta Ads,Black Friday,21795,959,3579.16,104,12945.59
2026-01-19,54,Dra. Sofia Ribeiro,Campos,SaaS,TikTok Ads,Black Friday,32213,1353,835.51,63,7716.1
2026-01-31,39,Srta. Gabriela da Costa,da Luz,Marketing,Google Ads,Retargeting,16968,124,3153.29,141,11272.04
2026-01-14,76,Yasmin Sousa,Nogueira da Costa Ltda.,SaaS,LinkedIn Ads,Conversão,30827,1452,3308.4,16,1226.24
2026-01-23,98,Lucas Gabriel Borges,Campos - ME,Marketing,Google Ads,Black Friday,20882,1976,1331.25,46,3013.48
2026-01-05,3,Fernando da Luz,Barbosa,E-commerce,LinkedIn Ads,Retargeting,33315,1442,3880.94,8,699.17
2026-01-18,88,Sofia Costa,Caldeira Santos e Filhos,Varejo,TikTok Ads,Conversão,21228,963,1554.97,113,14483.34
2026-01-10,8,Dr. João Vitor Nunes,Rodrigues,Varejo,Meta Ads,Retargeting,46777,1657,4730.86,126,7155.68
2026-01-09,19,Dra. Maria Alice da Costa,Macedo,Varejo,Google Ads,Retargeting,41549,334,2559.76,66,3880.5
2026-01-13,57,Alexia Lima,Fogaça,Marketing,Meta Ads,Black Friday,29481,995,2546.1,121,9130.53
2026-01-05,56,Emanuelly da Rocha,Aparecida - EI,E-commerce,LinkedIn Ads,Black Friday,41994,1731,2469.44,147,7555.99
2026-01-03,42,Srta. Maysa Andrade,Cavalcanti S/A,E-commerce,Google Ads,Awareness,22230,129,4296.25,16,2301.4
2026-01-15,44,Rael Abreu,Alves,SaaS,LinkedIn Ads,Lead Gen,11144,411,762.78,43,5719.28
2026-01-11,92,Vitória Pereira,Borges,Marketing,LinkedIn Ads,Awareness,24892,417,2765.66,87,9219.34
2026-01-15,71,Dr. Leandro Cardoso,Cunha,SaaS,Google Ads,Conversão,20514,758,1082.17,27,2207.78
